,book_id,user_id,score,time
0,46,30330430,5.0,2003-05-17
1,46,0,5.0,2003-04-20
2,46,0,5.0,2003-04-14
3,46,0,5.0,2003-04-13
4,89,0,5.0,1999-03-11
5,89,98767596,3.0,2003-01-31
6,89,57785478,5.0,2000-01-28
7,89,76675845,5.0,2001-02-12
8,101,18468372,4.0,2002-01-17
9,89,32946644,5.0,1998-09-07
10,50,96227630,5.0,2012-12-26
11,60,80304041,3.0,2005-01-25
12,89,16511765,5.0,2000-04-13
13,0,80961061,4.0,1999-10-23
14,1,62412208,5.0,2004-09-21
15,1,64186558,5.0,2004-03-09
16,101,32676536,5.0,2012-04-13
17,1,97304933,4.0,2004-07-25
18,1,78312342,4.0,2005-02-10
19,1,42658671,4.0,2005-09-20
20,1,87167592,5.0,2004-11-11
21,1,17047067,5.0,2009-01-06
22,1,77103701,5.0,2008-05-04
23,1,10024484,4.0,2004-02-10
24,2,89733956,5.0,2001-06-02
25,2,93137224,5.0,2010-12-08
26,2,95218668,5.0,2009-07-23
27,2,259580,5.0,2008-09-28
28,3,18199808,1.0,2005-05-26
29,3,62584937,4.0,2005-06-24
30,3,81541599,1.0,2005-06-20
31,3,10913443,5.0,2005-05-13
32,3,44565517,5.0,2005-05-26
33,101,15371317,5.0,2012-03-08
34,3,52413342,5.0,2005-10-23
35,3,37928888,5.0,2005-06-07
36,3,17440470,5.0,2005-06-11
37,3,45456114,5.0,2005-05-31
38,3,55574276,5.0,2005-06-19
39,3,55790523,5.0,2005-05-12
40,3,56034671,5.0,2005-08-22
41,3,21837219,4.0,2006-07-01
42,3,89330461,1.0,2005-06-28
43,3,82372706,5.0,2005-06-23
44,3,46279753,5.0,2005-05-12
45,3,72859293,5.0,2005-05-12
46,3,25658285,5.0,2005-05-03
47,3,28475276,4.0,2005-05-02
48,3,66607719,5.0,2005-03-17
49,3,31263359,4.0,2005-05-24
50,3,68028129,5.0,2005-05-16
51,3,12933460,5.0,2005-02-14
52,3,83112089,1.0,2005-05-12
53,3,73831144,1.0,2005-06-24
54,3,73997049,1.0,2005-06-27
55,3,89510889,1.0,2005-06-09
56,3,624328,1.0,2005-08-29
57,3,95783128,4.0,2005-07-27
58,3,56436637,5.0,2005-05-06
59,3,89090622,5.0,2005-05-03
60,3,84001022,1.0,2005-06-21
61,4,38085903,5.0,2008-02-04
62,5,371514,5.0,2000-04-11
63,5,12810434,5.0,2011-07-24
64,5,61727054,4.0,2010-11-17
65,5,5843811,4.0,2010-02-15
66,6,90673289,3.0,2011-08-15
67,7,94581961,5.0,2013-02-22
